"","ppt_id","head_noun","card","pair_type","trial_result","head_noun_tag","dep","AoA","Conc.M","Dom_Pos","Lg10WF"
"211",26,"word","Ransom","Friend","Out of time","NN","ROOT",9.83,3.31,"Noun",2.6981
"212",26,"track","Ransom","Friend","Out of time","NN","pobj",9.83,3.31,"Noun",2.6981
"213",26,"way","Ransom","Friend","Out of time","NN","dobj",9.83,3.31,"Noun",2.6981
"214",26,"stone","Sword","Friend","Out of time","NN","pobj",5.45,4.93,"Noun",3.1258
"215",26,"guy","Sword","Friend","Out of time","NN","nsubj",5.45,4.93,"Noun",3.1258
"216",26,"stone","Sword","Friend","Out of time","NN","pobj",5.45,4.93,"Noun",3.1258
"217",26,"stone","Sword","Friend","Out of time","NN","pobj",5.45,4.93,"Noun",3.1258
"218",26,"object","Sword","Friend","Out of time","NN","pobj",5.45,4.93,"Noun",3.1258
"219",26,"stone","Sword","Friend","Out of time","NN","pobj",5.45,4.93,"Noun",3.1258
"220",26,"object","Sunflower","Friend","Won","NN","pobj",6,4.8,"Noun",1.5441
"221",26,"garden","Sunflower","Friend","Won","NN","pobj",6,4.8,"Noun",1.5441
"222",26,"type","Sunflower","Friend","Won","NN","attr",6,4.8,"Noun",1.5441
"223",26,"way","Sunflower","Friend","Won","NN","pobj",6,4.8,"Noun",1.5441
"224",26,"alternative","Sunflower","Friend","Won","NN","pobj",6,4.8,"Noun",1.5441
"225",26,"breeze","Windmill","Friend","Lost","NN","dobj",5.32,4.89,"Noun",1.8195
"226",26,"words","Watch","Friend","Lost","NNS","dobj",4.33,4.61,"Verb",4.2261
"227",26,"words","Watch","Friend","Lost","NNS","pobj",4.33,4.61,"Verb",4.2261
"228",26,"name","Tuxedo","Friend","Won","NN","conj",8.26,4.86,"Noun",2.2014
"229",26,"fanc-","Tuxedo","Friend","Won","NN","pobj",8.26,4.86,"Noun",2.2014
"230",26,"red","Watermelon","Friend","Lost","NN","pobj",4.22,4.89,"Noun",2.0531
"231",26,"thing","Watermelon","Friend","Lost","NN","ROOT",4.22,4.89,"Noun",2.0531
"232",26,"summer","Watermelon","Friend","Lost","NN","pobj",4.22,4.89,"Noun",2.0531
"233",26,"type","Watermelon","Friend","Lost","NN","attr",4.22,4.89,"Noun",2.0531
"234",26,"thing","Manicure","Friend","Won","NN","attr",10.56,4.39,"Noun",2.0086
"235",26,"ocean","Manicure","Friend","Won","NN","pobj",10.56,4.39,"Noun",2.0086
"236",26,"thing","Shrimp","Friend","Won","NN","pobj",7.11,4.8,"Noun",2.6484
"237",26,"lot","Shrimp","Friend","Won","NN","dobj",7.11,4.8,"Noun",2.6484
"238",26,"legs","Shrimp","Friend","Won","NNS","pobj",7.11,4.8,"Noun",2.6484
"239",26,"cajun","Shrimp","Friend","Won","NN","pobj",7.11,4.8,"Noun",2.6484
"240",26,"top","Peak","Friend","Out of time","NN","dobj",7.11,4.2,"Noun",2.4829
"241",26,"hill","Peak","Friend","Out of time","NN","pobj",7.11,4.2,"Noun",2.4829
"242",26,"top","Peak","Friend","Out of time","NN","nsubj",7.11,4.2,"Noun",2.4829
"243",26,"emotion","Peak","Friend","Out of time","NN","attr",7.11,4.2,"Noun",2.4829
"244",26,"gym","Surprise","Friend","Won","NN","pobj",5.47,3.24,"Noun",3.6566
