rt,session_id,button_pressed,card,critical_trial,color,pair_type,trial_result,trial_with_partner,Participant ID,Session Number,Deck Color,Order,MINT_Score_Uncued_Correct,ppt_id,Gender,Native_Speaker,Played_before,Taboo_expertise,partner_id,partner_closeness
21264,1,0,Mattress,yes,Purple,Friend,Won,10,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
29658,1,0,Teddy Bear,yes,Purple,Friend,Won,11,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
7622,1,0,Sunny,yes,Purple,Friend,Won,12,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
23873,1,0,Rock,yes,Purple,Friend,Won,13,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
12815,1,1,Tonsils,yes,Purple,Friend,Lost,14,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
18745,1,1,Scorpion,yes,Purple,Friend,Lost,15,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
,1,,Intelligent,yes,Purple,Friend,Out of time,16,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
13770,1,0,Scientist,yes,Purple,Friend,Won,17,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
16689,1,0,Pickpocket,yes,Purple,Friend,Won,18,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
10735,1,1,Point,yes,Purple,Friend,Lost,19,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
9566,1,0,Path,yes,Purple,Friend,Won,20,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
18111,1,0,Fireplace,yes,Purple,Friend,Won,21,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
7477,1,0,Graduation,yes,Purple,Friend,Won,22,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
8149,1,1,Tightrope,yes,Purple,Friend,Lost,23,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
16404,1,1,Saddle,yes,Purple,Friend,Lost,24,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
5153,1,1,Grape,yes,Purple,Friend,Lost,25,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
26454,1,0,Shovel,yes,Purple,Friend,Won,26,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
28950,1,1,Rainbow,yes,Purple,Friend,Lost,27,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
25224,1,1,Stable,yes,Purple,Friend,Lost,28,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
10059,1,0,Hiking,yes,Purple,Friend,Won,29,3,1,Purple,Friend_Stranger,21,3,Male,Yes,No,3,1,3.857142857
